Табельный номер,Фамилия.И.О.,Пол,Год рождения,Год начала работы,Подразделение экономической деятельности,Должность,Состояние,Колличество предприятий
864,Гришуков В. Б.,Мужчина,1993,2014,Ульяновская область,Долл Миллиардер,629000000,13
865,Слюсарь С. С.,Мужчина,2002,2022,Республика Татарстан,Руб Миллиардер,472000000,4
866,Матвеева Р. Ф.,Женщина,1969,2022,Ульяновская область,Долл Миллиардер,343000000,13
867,Файбусович Я. И.,Мужчина,1996,2022,Ульяновская область,Долл Миллионер,144000000,6
868,Яковлева Х. А.,Женщина,1986,2022,Республика Татарстан,Руб Миллиардер,777000000,10
869,Пашаев З. К.,Мужчина,1973,2012,Казанская область,Долл Миллиардер,374000000,5
870,Аксёнова Ф. А.,Женщина,1973,2022,Республика Татарстан,Руб Миллиардер,65000000,5
871,Большакова И. С.,Женщина,1990,2018,Казанская область,Долл Миллиардер,386000000,8
872,Прохорычев Ч. Б.,Мужчина,1981,2008,Республика Татарстан,Долл Миллиардер,213000000,9
873,Лазарева Ж. Щ.,Женщина,1988,2001,Республика Татарстан,Долл Миллионер,952000000,0
874,Маконин В. М.,Мужчина,2002,2022,Ульяновская область,Руб Миллионер,556000000,8
875,Шамардин З. Н.,Мужчина,1997,2022,Ульяновская область,Руб Миллиардер,483000000,8
876,Афанасьева Я. Й.,Женщина,1982,2022,Казанская область,Долл Миллионер,428000000,7
877,Полканов С. Б.,Мужчина,1960,2022,Казанская область,Долл Миллиардер,907000000,0
878,Николаева П. И.,Женщина,1992,2022,Ульяновская область,Руб Миллионер,35000000,7
879,Оплетаев О. Л.,Мужчина,1960,1985,Казанская область,Руб Миллионер,578000000,12
880,Фомина Е. М.,Женщина,1958,2022,Ульяновская область,Долл Миллиардер,944000000,10
881,Попиков О. И.,Мужчина,1998,2022,Казанская область,Долл Миллиардер,324000000,0
882,Уманский Г. Й.,Мужчина,1986,2022,Казанская область,Руб Миллиардер,159000000,15
883,Хлабыстов М. Н.,Мужчина,2001,2016,Казанская область,Долл Миллиардер,577000000,2
884,Давыдова Ф. К.,Женщина,1977,1990,Ульяновская область,Долл Миллиардер,77000000,8
885,Вишня Г. Я.,Мужчина,1978,2022,Казанская область,Долл Миллионер,820000000,13
886,Сергов Щ. Х.,Мужчина,1969,2004,Ульяновская область,Руб Миллиардер,441000000,12
887,Юриков И. Н.,Мужчина,1970,2022,Ульяновская область,Руб Миллионер,575000000,8
888,Малашенко Ю. Х.,Мужчина,2004,2022,Ульяновская область,Руб Миллиардер,571000000,8
889,Селянинов Б. Ё.,Мужчина,1987,2022,Казанская область,Долл Миллиардер,184000000,11
890,Герасимова Х. Ё.,Женщина,1974,2022,Ульяновская область,Долл Миллиардер,443000000,12
891,Тихонова Ж. Ч.,Женщина,1994,2022,Ульяновская область,Руб Миллионер,813000000,6
892,Кудрявцева Е. Э.,Женщина,1978,2022,Казанская область,Долл Миллиардер,34000000,4
893,Анисимова Я. В.,Женщина,1971,2005,Казанская область,Долл Миллиардер,635000000,9
894,Серпухов Л. Ю.,Мужчина,2002,2022,Казанская область,Долл Миллиардер,284000000,15
895,Хоруженко Ц. Я.,Мужчина,1983,2022,Казанская область,Руб Миллионер,196000000,9
896,Лахтанов Д. О.,Мужчина,1963,2022,Республика Татарстан,Руб Миллиардер,495000000,11
897,Бакишев Х. Щ.,Мужчина,1950,2022,Казанская область,Руб Миллиардер,948000000,14
898,Любавский Ж. Щ.,Мужчина,1965,1998,Казанская область,Руб Миллионер,402000000,6
899,Княжнин Л. Ч.,Мужчина,1970,1990,Республика Татарстан,Долл Миллионер,802000000,1
900,Дехтярев К. С.,Мужчина,2009,2022,Казанская область,Руб Миллиардер,518000000,14
901,Аксёнова М. П.,Женщина,1955,2022,Ульяновская область,Руб Миллионер,624000000,8
902,Титова О. Д.,Женщина,1994,2022,Республика Татарстан,Долл Миллиардер,20000000,2
903,Маркова Щ. Р.,Женщина,1982,2022,Ульяновская область,Долл Миллиардер,62000000,5
904,Полубоярцев Ё. А.,Мужчина,1995,2022,Республика Татарстан,Долл Миллионер,398000000,14
905,Белощек В. Ё.,Мужчина,1979,2022,Ульяновская область,Руб Миллионер,208000000,3
906,Перевозников Л. Ю.,Мужчина,1951,1977,Республика Татарстан,Долл Миллионер,409000000,11
907,Исакова Д. Р.,Женщина,1962,2022,Республика Татарстан,Руб Миллионер,722000000,10
908,Шаныгин Й. Б.,Мужчина,1963,2021,Казанская область,Долл Миллионер,951000000,4
909,Ершова О. Ж.,Женщина,2004,2022,Казанская область,Руб Миллионер,752000000,1
910,Веселова Х. Н.,Женщина,1968,1981,Республика Татарстан,Руб Миллионер,730000000,13
911,Шкуратов Е. Х.,Мужчина,1997,2022,Республика Татарстан,Руб Миллиардер,117000000,11
912,Фомина Ш. Д.,Женщина,1963,1992,Казанская область,Руб Миллионер,116000000,12
913,Селезнёва Э. Щ.,Женщина,1959,1989,Ульяновская область,Долл Миллиардер,835000000,9
914,Мухина М. М.,Женщина,1950,2022,Ульяновская область,Руб Миллиардер,722000000,11
915,Комарова А. О.,Женщина,2003,2022,Республика Татарстан,Руб Миллионер,562000000,3
916,Миронова Н. Т.,Женщина,1999,2022,Ульяновская область,Долл Миллионер,867000000,6
917,Калинина Ю. П.,Женщина,1980,2022,Ульяновская область,Руб Миллионер,244000000,0
918,Давыдова Ф. И.,Женщина,1957,2022,Республика Татарстан,Долл Миллиардер,943000000,12
919,Оненко Ц. Р.,Мужчина,1957,2003,Казанская область,Руб Миллиардер,595000000,3
920,Фолков У. Т.,Мужчина,1960,1998,Ульяновская область,Руб Миллионер,682000000,9
921,Чириков О. Д.,Мужчина,1989,2006,Ульяновская область,Долл Миллионер,4000000,13
922,Либин Я. М.,Мужчина,1968,2022,Ульяновская область,Долл Миллиардер,76000000,7
923,Колесникова Р. Ш.,Женщина,1958,2022,Республика Татарстан,Руб Миллионер,879000000,3
924,Кудрявцева Й. Б.,Женщина,1997,2022,Ульяновская область,Руб Миллиардер,985000000,13
925,Власова Ю. Р.,Женщина,1983,1996,Республика Татарстан,Долл Миллиардер,146000000,8
926,Третьякова Ю. О.,Женщина,1994,2022,Республика Татарстан,Руб Миллионер,821000000,7
927,Рыбак Ё. А.,Мужчина,1974,1999,Ульяновская область,Руб Миллиардер,48000000,12
928,Гречищев Р. З.,Мужчина,1951,2022,Ульяновская область,Долл Миллиардер,633000000,3
929,Демидась Л. П.,Мужчина,1978,2022,Казанская область,Долл Миллионер,690000000,11
930,Власова Р. Ш.,Женщина,2008,2022,Республика Татарстан,Руб Миллионер,990000000,11
931,Белоусова Ц. О.,Женщина,1952,1983,Казанская область,Руб Миллионер,129000000,12
932,Кирилов У. Н.,Мужчина,1968,2002,Республика Татарстан,Долл Миллиардер,747000000,4
933,Егорова Э. Р.,Женщина,2010,2022,Казанская область,Руб Миллиардер,757000000,5
934,Юдаков Э. К.,Мужчина,2009,2022,Республика Татарстан,Руб Миллиардер,102000000,15
935,Балабиков У. Ш.,Мужчина,1978,2022,Казанская область,Долл Миллиардер,914000000,5
936,Мелихов Ю. Г.,Мужчина,1957,2015,Казанская область,Руб Миллионер,94000000,6
937,Киселёва Щ. Щ.,Женщина,2005,2022,Республика Татарстан,Руб Миллионер,12000000,1
938,Николаева Ё. З.,Женщина,1959,2022,Республика Татарстан,Долл Миллионер,989000000,0
939,Василечко Е. З.,Мужчина,1970,2022,Ульяновская область,Руб Миллионер,427000000,5
940,Мокрушин Х. Б.,Мужчина,1951,2022,Казанская область,Долл Миллионер,807000000,10
941,Горбунова И. Ц.,Женщина,1988,2022,Казанская область,Руб Миллионер,808000000,1
942,Смурыгин Я. Й.,Мужчина,1989,2022,Ульяновская область,Долл Миллиардер,122000000,10
943,Гумилев Е. П.,Мужчина,1959,2022,Ульяновская область,Долл Миллиардер,860000000,11
944,Скоропись Н. Ч.,Мужчина,1994,2022,Республика Татарстан,Долл Миллиардер,352000000,9
945,Рябова К. А.,Женщина,2000,2018,Казанская область,Долл Миллионер,766000000,8
946,Володич З. Ю.,Мужчина,2010,2022,Республика Татарстан,Долл Миллионер,463000000,6
947,Ковалёва Е. А.,Женщина,1986,2022,Республика Татарстан,Долл Миллиардер,540000000,5
948,Котова Ю. У.,Женщина,2003,2022,Ульяновская область,Долл Миллионер,803000000,10
949,Ничипоров Й. Э.,Мужчина,1994,2022,Республика Татарстан,Долл Миллионер,237000000,0
950,Самолюк О. Р.,Мужчина,1973,2022,Ульяновская область,Долл Миллиардер,715000000,12
951,Герасимова Э. К.,Женщина,1964,1987,Республика Татарстан,Руб Миллионер,885000000,5
952,Коновалова Ч. Ш.,Женщина,1971,2022,Казанская область,Руб Миллиардер,655000000,15
953,Бабин Г. Н.,Мужчина,1966,2022,Казанская область,Долл Миллиардер,909000000,15
954,Власова А. Ё.,Женщина,1999,2022,Казанская область,Долл Миллионер,323000000,6
955,Полякова Х. Н.,Женщина,1998,2022,Республика Татарстан,Долл Миллионер,58000000,1
956,Белозерцев Г. З.,Мужчина,1968,2022,Казанская область,Долл Миллионер,836000000,10
957,Хвостунов Н. Э.,Мужчина,1951,1992,Казанская область,Долл Миллионер,434000000,11
958,Рыбакова Ф. З.,Женщина,1991,2022,Ульяновская область,Руб Миллиардер,687000000,12
959,Дорин М. Ё.,Мужчина,1991,2022,Республика Татарстан,Руб Миллиардер,629000000,9
960,Пелевкин Е. Ц.,Мужчина,1950,2022,Казанская область,Руб Миллиардер,183000000,7
961,Булат Л. Щ.,Мужчина,2004,2022,Республика Татарстан,Руб Миллиардер,990000000,0
962,Тарасова Е. Щ.,Женщина,1954,1994,Ульяновская область,Долл Миллионер,263000000,15
963,Ширяева И. Д.,Женщина,1975,2013,Казанская область,Руб Миллиардер,402000000,1
964,Чекан А. Е.,Мужчина,1989,2015,Республика Татарстан,Долл Миллионер,856000000,14
965,Шеншин В. У.,Мужчина,1991,2008,Республика Татарстан,Долл Миллиардер,393000000,8
966,Архипова Ж. Ж.,Женщина,2004,2022,Казанская область,Долл Миллиардер,936000000,10
967,Горбунова Т. К.,Женщина,1969,2005,Ульяновская область,Руб Миллиардер,858000000,0
968,Дорофеева В. Х.,Женщина,1993,2019,Казанская область,Долл Миллиардер,336000000,4
969,Куткин Ч. Ц.,Мужчина,1958,1976,Республика Татарстан,Долл Миллионер,253000000,1
970,Журавлёва Л. С.,Женщина,1965,1993,Казанская область,Долл Миллионер,732000000,10
971,Орлова М. Й.,Женщина,1951,2022,Ульяновская область,Руб Миллиардер,367000000,15
972,Ходунов Й. Ю.,Мужчина,1973,2008,Республика Татарстан,Руб Миллиардер,620000000,11
973,Пашунин З. Л.,Мужчина,1991,2022,Ульяновская область,Долл Миллиардер,232000000,8
974,Антонова Й. Е.,Женщина,2000,2022,Ульяновская область,Долл Миллиардер,421000000,11
975,Клишанов М. Ё.,Мужчина,1956,2016,Казанская область,Руб Миллиардер,503000000,3
976,Семенченко Л. Ф.,Мужчина,1995,2022,Казанская область,Руб Миллиардер,800000000,0
977,Семенников М. И.,Мужчина,1997,2022,Республика Татарстан,Долл Миллиардер,212000000,10
978,Недочетов Б. И.,Мужчина,1953,2003,Ульяновская область,Руб Миллиардер,824000000,13
979,Вячеславлев Л. Ш.,Мужчина,1988,2001,Казанская область,Долл Миллионер,681000000,11
980,Мехоношин Ц. И.,Мужчина,1993,2022,Казанская область,Руб Миллиардер,592000000,2
981,Яковлева Л. Ё.,Женщина,1992,2022,Республика Татарстан,Долл Миллиардер,773000000,9
982,Коляев Ш. Й.,Мужчина,1998,2022,Ульяновская область,Руб Миллиардер,263000000,2
983,Александрова Л. Я.,Женщина,2002,2022,Республика Татарстан,Долл Миллиардер,864000000,13
984,Говорков П. Ч.,Мужчина,1973,2022,Ульяновская область,Долл Миллионер,387000000,10
985,Анисимова К. Н.,Женщина,1975,2022,Республика Татарстан,Долл Миллионер,392000000,8
986,Максимчук О. Ю.,Мужчина,1991,2022,Ульяновская область,Руб Миллиардер,665000000,6
987,Собольщиков Д. Ч.,Мужчина,1987,2022,Республика Татарстан,Руб Миллиардер,730000000,15
988,Падарин А. Г.,Мужчина,1959,2022,Республика Татарстан,Долл Миллиардер,688000000,14
989,Зуева Р. Н.,Женщина,1961,2022,Казанская область,Долл Миллиардер,458000000,1
990,Горшкова М. А.,Женщина,1972,2009,Казанская область,Долл Миллиардер,643000000,12
991,Метлин А. К.,Мужчина,1996,2013,Казанская область,Руб Миллиардер,291000000,8
992,Кудрявцева К. Т.,Женщина,2010,2022,Республика Татарстан,Руб Миллиардер,933000000,4
993,Лучкай Й. Е.,Мужчина,2001,2022,Ульяновская область,Руб Миллиардер,761000000,14
994,Большакова Е. К.,Женщина,1977,2022,Казанская область,Долл Миллиардер,711000000,12
995,Панькив К. Ч.,Мужчина,1979,1997,Республика Татарстан,Долл Миллионер,360000000,1
996,Фролова Ё. Й.,Женщина,1975,2022,Республика Татарстан,Долл Миллионер,190000000,3
997,Глазырин Ф. Ш.,Мужчина,2005,2022,Казанская область,Руб Миллионер,319000000,4
998,Селезнёва Б. Ц.,Женщина,1985,2022,Ульяновская область,Руб Миллионер,360000000,4
999,Борисова Б. И.,Женщина,2001,2022,Республика Татарстан,Руб Миллиардер,811000000,14
1000,Панова Р. И.,Женщина,1976,2022,Республика Татарстан,Руб Миллиардер,576000000,8
1001,Баранова Щ. Д.,Женщина,1976,1994,Республика Татарстан,Долл Миллионер,408000000,0
1002,Болховитинов Р. Ш.,Мужчина,2006,2022,Республика Татарстан,Долл Миллиардер,359000000,2
1003,Кузьмина Т. С.,Женщина,1982,2013,Ульяновская область,Долл Миллиардер,33000000,12
1004,Косминский Е. У.,Мужчина,1974,2022,Республика Татарстан,Долл Миллионер,847000000,6
1005,Капиносов Ж. Т.,Мужчина,1994,2022,Казанская область,Руб Миллиардер,409000000,0
1006,Коновалова Щ. Л.,Женщина,1989,2022,Казанская область,Долл Миллионер,134000000,7
1007,Савельева М. Э.,Женщина,2008,2022,Республика Татарстан,Руб Миллионер,326000000,3
1008,Блинова Ж. А.,Женщина,1958,2022,Республика Татарстан,Руб Миллионер,86000000,0
1009,Фомина Я. Б.,Женщина,1994,2020,Казанская область,Руб Миллиардер,116000000,1
1010,Голоушкин В. Л.,Мужчина,1966,2022,Республика Татарстан,Руб Миллиардер,146000000,3
1011,Комшилов Н. Я.,Мужчина,1960,2022,Казанская область,Руб Миллионер,8000000,6
1012,Карпова Е. Е.,Женщина,1962,2022,Республика Татарстан,Руб Миллионер,18000000,13
1013,Удобин Я. Х.,Мужчина,1985,2022,Казанская область,Руб Миллиардер,164000000,2
1014,Титарчук П. Ш.,Мужчина,1979,2022,Ульяновская область,Руб Миллиардер,152000000,3
1015,Пиньгин Ш. И.,Мужчина,1985,2010,Казанская область,Руб Миллиардер,849000000,13
1016,Медведева Щ. Ф.,Женщина,2003,2022,Ульяновская область,Долл Миллиардер,227000000,15
1017,Герасимова Н. Ч.,Женщина,1999,2013,Ульяновская область,Долл Миллионер,407000000,11
1018,Коновалова З. Я.,Женщина,1973,2006,Казанская область,Долл Миллионер,102000000,11
1019,Гашунин И. Ф.,Мужчина,1999,2022,Казанская область,Долл Миллиардер,198000000,1
1020,Галкина У. Д.,Женщина,1989,2014,Казанская область,Руб Миллиардер,127000000,15
1021,Емельянова У. К.,Женщина,1984,2022,Ульяновская область,Долл Миллионер,600000000,7
1022,Бархотов О. Ж.,Мужчина,2002,2022,Республика Татарстан,Руб Миллионер,919000000,7
1023,Королёва С. Й.,Женщина,1955,2016,Казанская область,Руб Миллионер,580000000,3
1024,Егорова Ш. Ю.,Женщина,1968,2022,Казанская область,Долл Миллионер,62000000,4
1025,Павлюхин Ё. З.,Мужчина,1994,2019,Казанская область,Руб Миллиардер,711000000,10
1026,Панова Ц. А.,Женщина,2003,2022,Республика Татарстан,Руб Миллионер,371000000,13
1027,Ромадинов Ё. Э.,Мужчина,1951,2022,Республика Татарстан,Руб Миллионер,868000000,6
1028,Тарасова О. В.,Женщина,1976,2022,Казанская область,Долл Миллионер,806000000,5
1029,Маркова З. Р.,Женщина,1956,1993,Ульяновская область,Долл Миллиардер,632000000,13
1030,Никифорова Ж. Ш.,Женщина,1963,2013,Ульяновская область,Руб Миллионер,427000000,3
1031,Селифонтов Н. Щ.,Мужчина,1997,2022,Ульяновская область,Руб Миллиардер,915000000,2
1032,Куличков У. Э.,Мужчина,1989,2022,Ульяновская область,Руб Миллионер,305000000,4
1033,Копейкин Ш. Л.,Мужчина,1990,2022,Казанская область,Долл Миллионер,635000000,6
1034,Шестакова Я. Р.,Женщина,2000,2022,Казанская область,Руб Миллионер,374000000,13
1035,Цаплин А. А.,Мужчина,1969,1997,Ульяновская область,Руб Миллиардер,85000000,6
1036,Щербакова Г. Ш.,Женщина,1996,2022,Республика Татарстан,Долл Миллионер,688000000,0
1037,Цыбиков А. Й.,Мужчина,1982,2011,Казанская область,Долл Миллионер,115000000,12
1038,Трусимов Ю. У.,Мужчина,1979,2008,Республика Татарстан,Руб Миллионер,190000000,10
1039,Калманов Г. Б.,Мужчина,2001,2022,Казанская область,Долл Миллиардер,83000000,1
1040,Полейчук Ц. А.,Мужчина,1981,2022,Казанская область,Руб Миллиардер,23000000,0
1041,Слабнов Л. П.,Мужчина,1956,1983,Казанская область,Руб Миллионер,713000000,13
1042,Соболева Е. В.,Женщина,2004,2022,Республика Татарстан,Руб Миллиардер,360000000,9
1043,Подчерняев Ю. У.,Мужчина,1966,1993,Ульяновская область,Долл Миллиардер,664000000,5
1044,Чугунов Я. И.,Мужчина,1956,1999,Ульяновская область,Долл Миллионер,108000000,6
1045,Мелащенко Ф. О.,Мужчина,2002,2022,Республика Татарстан,Долл Миллиардер,641000000,2
1046,Карпова П. Ш.,Женщина,1986,2011,Республика Татарстан,Руб Миллиардер,757000000,11
1047,Грунин О. Э.,Мужчина,1951,2022,Ульяновская область,Долл Миллиардер,271000000,13
1048,Рудометов Э. К.,Мужчина,2003,2022,Казанская область,Руб Миллиардер,778000000,5
1049,Шильцов З. Е.,Мужчина,1992,2022,Республика Татарстан,Долл Миллионер,929000000,2
1050,Блинова Н. Э.,Женщина,1956,1979,Казанская область,Руб Миллиардер,114000000,10
1051,Колыганов Ж. У.,Мужчина,1988,2022,Казанская область,Руб Миллиардер,505000000,4
1052,Кузьмина В. С.,Женщина,1953,2022,Ульяновская область,Долл Миллиардер,794000000,14
1053,Гусев Й. Ю.,Мужчина,1984,2022,Казанская область,Долл Миллиардер,179000000,1
1054,Комарова Щ. О.,Женщина,1983,2012,Республика Татарстан,Долл Миллионер,616000000,12
1055,Галкина Х. П.,Женщина,2004,2022,Казанская область,Долл Миллионер,73000000,13
1056,Максименок С. В.,Мужчина,1987,2022,Казанская область,Руб Миллиардер,524000000,6
